30000,30000,30000
147137.4631,153282.4854,156909.3949
233123.9353,234811.2065,254676.9353
381395.0532,376589.2232,446187.9032
429700.5406,485078.2983,547863.9242
581391.8831,624292.346,665844.9942
613006.9735,764000.7683,859949.8996
785858.5632,904840.7593,918908.2586
809893.5885,914345.5134,933338.9597
867158.3491,1010856.848,1023918.215
778554.924,829844.1469,877636.2427
924764.6172,1125460.734,1045154.912
836308.288,1011792.753,959398.3488
1038304.728,1162961.908,1073155.261
957734.4057,1076115.009,1051454.296
